"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","test_netlist_expansion","Unit Tests","Mon Dec 16 19:29:19 GMT 2024","passed","Mon Dec 16 19:29:19 GMT 2024","Test","netlist_expander_test","",""
"","0","test_fastercap_parse_capacitance_matrix","Unit Tests","Mon Dec 16 19:29:19 GMT 2024","passed","Mon Dec 16 19:29:19 GMT 2024","Test","fastercap_runner_test","",""
"","5602","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Mon Dec 16 19:53:17 GMT 2024","failed","Mon Dec 16 19:53:22 GMT 2024","","rcx25_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Mon Dec 16 19:29:19 GMT 2024","passed","Mon Dec 16 19:29:19 GMT 2024","Test","netlist_reducer_test","",""
"","5607","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Mon Dec 16 19:53:22 GMT 2024","failed","Mon Dec 16 19:53:28 GMT 2024","","rcx25_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Mon Dec 16 19:29:19 GMT 2024","passed","Mon Dec 16 19:29:19 GMT 2024","Test","argparse_helpers_test","",""
"","5375","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Mon Dec 16 19:53:06 GMT 2024","passed","Mon Dec 16 19:53:11 GMT 2024","","rcx25_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Mon Dec 16 19:29:19 GMT 2024","passed","Mon Dec 16 19:29:19 GMT 2024","Test","argparse_helpers_test","",""
"","0","test_write_csv","Unit Tests","Mon Dec 16 19:29:18 GMT 2024","passed","Mon Dec 16 19:29:18 GMT 2024","Test","capacitance_matrix_test","",""
"","5493","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Mon Dec 16 19:53:11 GMT 2024","passed","Mon Dec 16 19:53:17 GMT 2024","","rcx25_test","",""
"","5816","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Mon Dec 16 19:53:34 GMT 2024","passed","Mon Dec 16 19:53:39 GMT 2024","","rcx25_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Mon Dec 16 19:29:19 GMT 2024","passed","Mon Dec 16 19:29:19 GMT 2024","Test","argparse_helpers_test","",""
"","0","test_parse_csv","Unit Tests","Mon Dec 16 19:29:18 GMT 2024","passed","Mon Dec 16 19:29:18 GMT 2024","Test","capacitance_matrix_test","",""
"","16","test_averaged_off_diagonals","Unit Tests","Mon Dec 16 19:29:18 GMT 2024","passed","Mon Dec 16 19:29:18 GMT 2024","Test","capacitance_matrix_test","",""
"","1079","test_fastercap_model_generator","Unit Tests","Mon Dec 16 19:29:18 GMT 2024","passed","Mon Dec 16 19:29:19 GMT 2024","","fastercap_model_generator_test","",""
"","6016","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Mon Dec 16 19:53:39 GMT 2024","failed","Mon Dec 16 19:53:46 GMT 2024","","rcx25_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Mon Dec 16 19:29:19 GMT 2024","passed","Mon Dec 16 19:29:19 GMT 2024","Test","netlist_reducer_test","",""
"","5757","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Mon Dec 16 19:53:28 GMT 2024","failed","Mon Dec 16 19:53:34 GMT 2024","","rcx25_test","",""
"","6938","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Mon Dec 16 19:52:59 GMT 2024","passed","Mon Dec 16 19:53:06 GMT 2024","","rcx25_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Mon Dec 16 19:29:19 GMT 2024","passed","Mon Dec 16 19:29:19 GMT 2024","Test","argparse_helpers_test","",""
"","31","test_fastcap_parse_capacitance_matrix","Unit Tests","Mon Dec 16 19:29:18 GMT 2024","passed","Mon Dec 16 19:29:18 GMT 2024","Test","fastcap_runner_test","",""
