Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;LOWER_PartialSideHaloOverlap_Fingered1;VSUBS;5.884;
C2;LOWER_PartialSideHaloOverlap_Fingered2;VSUBS;8.16;
C3;LOWER_PartialSideHaloOverlap_Fingered3;VSUBS;8.164;
C4;LOWER_PartialSideHaloOverlap_Fingered4;VSUBS;5.889;
C5;UPPER;VSUBS;215.281;
C6;LOWER_PartialSideHaloOverlap_Fingered1;LOWER_PartialSideHaloOverlap_Fingered2;0.003;
C7;LOWER_PartialSideHaloOverlap_Fingered2;LOWER_PartialSideHaloOverlap_Fingered3;0.002;
C8;LOWER_PartialSideHaloOverlap_Fingered1;LOWER_PartialSideHaloOverlap_Fingered4;0.016;
C9;LOWER_PartialSideHaloOverlap_Fingered2;UPPER;2.466;
C10;LOWER_PartialSideHaloOverlap_Fingered3;UPPER;0.159;
C11;LOWER_PartialSideHaloOverlap_Fingered1;UPPER;0.244;
C12;LOWER_PartialSideHaloOverlap_Fingered4;UPPER;0.358;
